LA Number,Establishment Number,URN,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers
212,3550,101049,24,24,7,20.1,15.2,5.3,19.9,"£41,813"
212,3629,101050,29,32,7,28.6,20.8,6.6,14.9,"£41,437"
212,3636,101051,14,18,8,12.1,9.9,5.0,19.4,"£44,460"
212,3644,101052,10,8,4,8.1,5.8,3.1,24.8,"£47,571"
212,3645,131520,30,24,9,27.3,15.4,8.5,16.5,"£42,536"
212,4000,138267,55,15,16,52.5,13.5,15.3,10.7,"£36,650"
212,4001,140985,72,10,17,70.6,9.2,16.8,11.3,"£47,024"
212,4008,135762,37,20,19,36.0,15.7,16.5,12.4,"£45,993"
212,4297,101053,98,14,27,89.4,13.4,24.2,13.7,"£44,020"
212,4328,136883,64,18,30,58.3,16.1,28.7,16.8,"£35,654"
212,4734,141808,69,13,21,67.5,11.8,20.8,13.9,"£43,789"
212,5201,101057,48,44,9,44.2,34.2,8.4,14.8,"£40,185"
212,5202,101004,21,18,10,20.0,14.3,7.8,15.8,"£48,463"
212,5203,101012,18,19,10,15.6,15.2,5.1,19.8,"£45,708"
212,5204,101011,16,13,7,13.2,9.8,2.8,27.2,"£47,643"
212,5205,101032,17,17,9,16.4,12.1,7.7,18.8,"£41,205"
212,5400,137005,155,29,59,129.5,23.7,46.7,15.9,"£43,834"
212,5401,139842,120,10,42,114.6,8.5,38.4,15.3,"£47,076"
212,5402,138681,43,21,12,42.2,19.9,10.8,12.4,"£44,325"
212,5405,138682,120,40,57,112.6,36.7,51.2,9.8,"£42,068"
212,6905,135316,97,29,32,92.2,26.9,29.6,14.0,"£41,993"
213,2000,137323,20,19,4,20.0,19.0,2.8,18.9,"£38,541"
213,2001,138275,6,4,5,6.0,2.5,4.4,16.5,"£40,560"
213,2002,139824,15,9,6,14.1,8.9,5.4,16.8,"£43,996"
213,2003,139898,7,3,2,7.0,3.0,2.0,19.6,"£51,380"
213,2004,139940,18,12,5,16.8,8.8,5.0,14.5,"£40,632"
213,2005,143148,18,12,2,15.5,11.0,2.0,17.9,"£49,184"
213,2032,101107,15,6,4,13.6,4.2,3.2,17.4,"£41,112"
213,2189,101110,27,11,7,26.2,8.5,4.3,15.0,"£49,345"
213,2208,101111,28,17,4,27.6,15.7,3.5,16.6,"£39,740"
213,2244,140050,49,23,6,46.8,15.8,4.9,14.5,"£42,993"
213,2418,138683,21,18,5,20.0,11.9,2.9,20.3,"£37,785"
213,2778,101115,26,22,5,22.6,15.8,4.7,18.8,"£43,286"
213,2799,101116,33,26,11,33.0,18.1,10.3,15.0,"£39,484"
213,2816,101117,12,1,4,10.8,1.0,4.0,17.4,"£39,849"
213,2844,101120,21,10,4,21.0,9.8,4.0,13.8,"£36,689"
213,3306,101121,13,7,4,13.0,4.9,3.1,15.9,"£41,921"
213,3316,101122,18,12,7,16.6,8.0,4.0,16.6,"£47,241"
213,3351,101123,12,13,4,11.8,9.0,3.6,19.8,"£40,856"
213,3381,101124,23,7,7,16.2,5.1,7.0,17.3,"£43,692"
213,3414,101125,14,12,5,12.8,8.4,5.0,17.8,"£40,276"
213,3418,101126,12,2,1,12.0,1.8,1.0,12.4,"£41,706"
213,3424,101127,14,11,5,14.0,10.5,4.8,16.0,"£42,699"
213,3432,101128,20,14,5,19.0,9.9,4.9,19.0,"£40,999"
213,3440,101129,14,14,2,12.0,12.2,2.0,15.7,"£42,052"
213,3446,101130,11,7,0,11.0,6.8,0.0,17.4,"£51,434"
213,3451,101131,13,9,3,10.4,7.0,3.0,16.7,"£38,041"
213,3453,101132,13,10,0,12.9,7.4,0.0,13.3,"£41,575"
213,3473,101133,16,15,7,15.2,10.7,4.9,18.6,"£49,064"
213,3496,101134,12,5,6,11.3,4.4,4.4,16.2,"£41,537"
213,3511,101135,15,8,7,14.0,7.8,6.0,15.0,"£39,078"
213,3520,101136,13,12,4,10.4,8.4,4.0,20.1,"£52,952"
213,3532,101137,18,16,6,16.6,10.9,5.1,17.9,"£41,197"
213,3539,101138,13,8,3,13.0,7.8,2.6,16.3,"£42,193"
213,3580,101139,13,11,3,11.8,7.3,3.0,17.8,"£42,550"
213,3582,101140,15,7,3,14.6,5.3,2.8,20.5,"£43,079"
213,3590,101141,13,14,8,12.8,8.4,5.0,17.4,"£49,246"
213,3598,101142,13,18,3,12.2,12.3,2.6,15.6,"£42,255"
213,3610,101143,14,16,5,12.5,9.6,4.9,18.7,"£46,137"
213,3611,101144,14,11,2,12.8,8.9,1.4,17.9,"£41,320"
213,3623,101146,9,10,2,7.7,6.9,2.0,25.3,"£43,081"
213,3653,101147,14,16,7,14.0,9.5,4.8,15.7,"£47,135"
213,4000,140884,31,7,8,31.0,7.0,8.0,11.4,"£37,657"
213,4001,140939,38,8,6,34.2,6.7,6.0,14.2,"£43,980"
213,4295,137646,NA,NA,NA,NA,NA,NA,NA,NA
213,4628,138313,80,6,27,71.2,4.5,25.3,14.4,"£37,315"
213,4673,137353,106,12,27,100.8,11.2,25.3,10.7,"£44,308"
213,4687,138312,57,6,19,54.1,5.2,18.3,14.3,"£48,079"
213,4723,101154,82,29,28,79.1,25.4,25.6,11.8,"£43,988"
213,4809,139369,69,6,22,68.4,4.9,19.7,13.5,"£40,063"
213,6905,130912,96,28,35,92.4,26.7,33.5,13.2,"£45,630"
213,6906,131262,84,3,22,80.6,2.9,21.6,13.6,"£43,600"
213,6907,135242,67,33,12,65.2,31.5,11.5,13.5,"£39,804"
213,6908,135676,100,22,23,97.1,21.6,22.0,12.0,"£41,520"
301,2001,101186,47,31,12,44.0,25.6,11.1,18.7,"£43,959"
301,2002,140687,24,19,7,23.2,17.1,6.2,18.7,"£38,405"
301,2003,141651,15,0,1,15.0,0.0,1.0,29.3,"£45,394"
